days, pressure (kPa)
1.44841,1291.76
5.06944,1312.94
10.8631,1334.12
13.7599,1567.06
21.0020,1651.76
32.5893,1778.82
37.6587,1905.88
42.7282,2075.29
49.2460,2181.18
61.5575,2308.24
63.7302,1905.88
67.3512,1588.24
70.2480,1334.12
76.0417,1143.53
82.5595,889.412
89.8016,656.471
99.9405,508.235
109.355,381.176
115.149,381.176
120.942,423.529
126.012,614.118
126.736,804.706
132.530,1122.35
138.323,1376.47
140.496,1524.71
147.738,1588.24
160.050,1630.59
162.222,1355.29
168.016,1164.71
175.258,910.588
183.948,741.176
196.260,656.471
208.571,529.412
213.641,529.412
