days since jan 2012,temperature (degC)
0.872205,180.698
6.67158,187.688
10.2869,180.653
12.4753,199.941
19.7259,210.432
24.7939,208.654
54.5021,227.809
62.4697,229.525
63.1738,204.960
76.1937,185.599
87.0452,171.512
97.1740,159.183
107.306,150.362
117.437,141.541
125.396,132.731
126.884,180.093
139.938,202.837
148.628,202.795
160.941,204.490
165.992,181.659
172.510,181.628
181.919,174.565
195.670,163.972
207.250,155.145
216.662,151.591
220.280,148.065
222.477,177.879
227.564,198.907
237.713,211.139
244.232,212.862
271.030,216.242
271.746,205.712
285.488,184.593
310.824,170.437
323.854,163.356
326.747,158.079
331.096,163.322
347.747,156.224
352.808,145.673
357.160,154.424
410.008,131.363
428.106,122.504
432.497,178.624
440.481,199.638
445.555,204.877
446.996,196.098
453.521,204.838
462.946,217.074
477.434,222.267
491.200,229.219
500.617,232.682
512.929,232.623
517.985,216.809
523.766,200.992
531.002,193.940
536.072,193.915
542.579,181.603
549.821,181.569
556.336,178.028
566.474,176.225
575.164,176.184
582.399,167.377
588.911,160.328
591.812,165.577
607.020,165.504
